route,count
"['main', 'digital', 'rabota']",13
"['main', 'news', 'rabota', 'news']",13
"['main', 'tariffs', 'bonus', 'news']",13
"['main', 'rabota', 'news', 'internet']",13
"['main', 'internet', 'rabota', 'news']",13
"['main', 'vklad', 'bonus', 'rabota']",13
"['main', 'tariffs', 'rabota', 'news']",13
"['main', 'archive', 'bonus', 'online']",13
"['main', 'news', 'internet', 'archive']",13
"['main', 'rabota', 'online', 'archive']",13
"['main', 'internet', 'rabota', 'online']",13
"['main', 'rabota', 'main', 'internet']",12
"['main', 'online', 'news', 'rabota']",12
"['main', 'internet', 'bonus', 'tariffs']",12
"['main', 'bonus', 'tariffs', 'internet']",12
"['main', 'bonus', 'archive', 'tariffs']",12
"['main', 'bonus', 'main', 'bonus']",12
"['main', 'tariffs', 'online', 'news']",12
"['main', 'rabota', 'news', 'vklad']",12
"['main', 'archive', 'vklad', 'internet']",12
"['main', 'bonus', 'rabota', 'main']",12
"['main', 'rabota', 'news', 'bonus']",12
"['main', 'rabota', 'internet', 'tariffs']",12
"['main', 'bonus', 'news', 'archive']",12
"['main', 'rabota', 'main', 'bonus']",12
"['main', 'archive', 'bonus', 'main']",12
"['main', 'news', 'main', 'archive']",12
"['main', 'archive', 'online', 'rabota']",12
"['main', 'internet', 'rabota', 'vklad']",12
"['main', 'rabota', 'tariffs', 'online']",12
"['main', 'bonus', 'archive', 'main']",12
"['main', 'vklad', 'archive', 'rabota']",12
"['main', 'online', 'bonus', 'archive']",12
"['main', 'online', 'bonus', 'internet']",12
"['main', 'news', 'main', 'rabota']",11
"['main', 'rabota', 'internet', 'archive']",11
"['main', 'archive', 'news', 'vklad']",11
"['main', 'archive', 'internet', 'tariffs']",11
"['main', 'archive', 'online', 'tariffs']",11
"['main', 'main', 'internet']",11
"['main', 'rabota', 'online', 'tariffs']",11
"['main', 'rabota', 'tariffs', 'bonus']",11
"['main', 'tariffs', 'news', 'rabota']",11
"['main', 'archive', 'rabota', 'main']",11
